,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
,,,,,"South East (E12000008)",3105952,0.00,,
,,,,,"South West (E12000009)",1694560,0.00,,
,,,,,"Wales (W92000004)",1039763,0.00,,
,,,,,"Scotland (S92000003)",1745310,0.00,,
,,,,,"Northern Ireland (N92000002)",558226,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",153105,0.00,,
,,,,,"North West (E12000002)",366557,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",350493,0.00,,
,,,,,"East Midlands (E12000004)",178506,0.00,,
,,,,,"West Midlands (E12000005)",280003,0.00,,
,,,,,"East (E12000006)",389480,0.00,,
,,,,,"London (E12000007)",652413,0.00,,
,,,,,"South East (E12000008)",300752,0.00,,
,,,,,"South West (E12000009)",165073,0.00,,
,,,,,"Wales (W92000004)",117801,0.00,,
,,,,,"Scotland (S92000003)",404072,0.00,,
,,,,,"Northern Ireland (N92000002)",56607,0.00,,
,,,,"All rented privately","North East (E12000001)",187044,0.00,,
,,,,,"North West (E12000002)",664389,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",555106,0.00,,
,,,,,"East Midlands (E12000004)",333998,0.00,,
,,,,,"West Midlands (E12000005)",382391,0.00,,
,,,,,"East (E12000006)",521881,0.00,,
,,,,,"London (E12000007)",1310461,0.00,,
,,,,,"South East (E12000008)",876236,0.00,,
,,,,,"South West (E12000009)",685866,0.00,,
,,,,,"Wales (W92000004)",181832,0.00,,
,,,,,"Scotland (S92000003)",466668,0.00,,
,,,,,"Northern Ireland (N92000002)",175693,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",2069,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",3014,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",3692,0.00,,
,,,,,"London (E12000007)",3415,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",4804,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1646,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",1322,0.00,,
,,,,,"East (E12000006)",3609,0.00,,
,,,,,"London (E12000007)",1679,0.00,,
,,,,,"South East (E12000008)",5699,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1455,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",159357,0.00,,
,,,,,"North West (E12000002)",254100,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",233575,0.00,,
,,,,,"East Midlands (E12000004)",181828,0.00,,
,,,,,"West Midlands (E12000005)",256023,0.00,,
,,,,,"East (E12000006)",227300,0.00,,
,,,,,"London (E12000007)",387704,0.00,,
,,,,,"South East (E12000008)",278453,0.00,,
,,,,,"South West (E12000009)",157699,0.00,,
,,,,,"Wales (W92000004)",114766,0.00,,
,,,,,"Scotland (S92000003)",268949,0.00,,
,,,,,"Northern Ireland (N92000002)",78101,0.00,,
,,,,"All rented privately","North East (E12000001)",74818,0.00,,
,,,,,"North West (E12000002)",115897,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",64110,0.00,,
,,,,,"East Midlands (E12000004)",97290,0.00,,
,,,,,"West Midlands (E12000005)",103770,0.00,,
,,,,,"East (E12000006)",86473,0.00,,
,,,,,"London (E12000007)",223538,0.00,,
,,,,,"South East (E12000008)",130935,0.00,,
,,,,,"South West (E12000009)",84936,0.00,,
,,,,,"Wales (W92000004)",51680,0.00,,
,,,,,"Scotland (S92000003)",68269,0.00,,
,,,,,"Northern Ireland (N92000002)",56971,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",3378,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",16865,0.00,,
,,,,,"North West (E12000002)",34710,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",17289,0.00,,
,,,,,"East Midlands (E12000004)",17970,0.00,,
,,,,,"West Midlands (E12000005)",31664,0.00,,
,,,,,"East (E12000006)",41271,0.00,,
,,,,,"London (E12000007)",146333,0.00,,
,,,,,"South East (E12000008)",68689,0.00,,
,,,,,"South West (E12000009)",43980,0.00,,
,,,,,"Wales (W92000004)",10666,0.00,,
,,,,,"Scotland (S92000003)",32073,0.00,,
,,,,,"Northern Ireland (N92000002)",14200,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",9731,0.00,,
,,,,,"North West (E12000002)",51686,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",34120,0.00,,
,,,,,"East Midlands (E12000004)",27965,0.00,,
,,,,,"West Midlands (E12000005)",59042,0.00,,
,,,,,"East (E12000006)",68020,0.00,,
,,,,,"London (E12000007)",164273,0.00,,
,,,,,"South East (E12000008)",74269,0.00,,
,,,,,"South West (E12000009)",42928,0.00,,
,,,,,"Wales (W92000004)",16232,0.00,,
,,,,,"Scotland (S92000003)",47469,0.00,,
,,,,,"Northern Ireland (N92000002)",5073,0.00,,
,,,,"All rented privately","North East (E12000001)",51265,0.00,,
,,,,,"North West (E12000002)",71996,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",118952,0.00,,
,,,,,"East Midlands (E12000004)",89384,0.00,,
,,,,,"West Midlands (E12000005)",72013,0.00,,
,,,,,"East (E12000006)",65245,0.00,,
,,,,,"London (E12000007)",325873,0.00,,
,,,,,"South East (E12000008)",175932,0.00,,
,,,,,"South West (E12000009)",123326,0.00,,
,,,,,"Wales (W92000004)",32785,0.00,,
,,,,,"Scotland (S92000003)",61257,0.00,,
,,,,,"Northern Ireland (N92000002)",10763,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",2192,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",1538,0.00,,
,,,,,"East (E12000006)",5248,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",50622,0.00,,
,,,,,"North West (E12000002)",127581,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",88674,0.00,,
,,,,,"East Midlands (E12000004)",50470,0.00,,
,,,,,"West Midlands (E12000005)",130138,0.00,,
,,,,,"East (E12000006)",105283,0.00,,
,,,,,"London (E12000007)",282841,0.00,,
,,,,,"South East (E12000008)",164492,0.00,,
,,,,,"South West (E12000009)",76194,0.00,,
,,,,,"Wales (W92000004)",45875,0.00,,
,,,,,"Scotland (S92000003)",67521,0.00,,
,,,,,"Northern Ireland (N92000002)",4330,0.00,,
,,,,"All rented privately","North East (E12000001)",44046,0.00,,
,,,,,"North West (E12000002)",139142,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",57727,0.00,,
,,,,,"East Midlands (E12000004)",67739,0.00,,
,,,,,"West Midlands (E12000005)",64043,0.00,,
,,,,,"East (E12000006)",80264,0.00,,
,,,,,"London (E12000007)",291931,0.00,,
,,,,,"South East (E12000008)",220675,0.00,,
,,,,,"South West (E12000009)",62299,0.00,,
,,,,,"Wales (W92000004)",60209,0.00,,
,,,,,"Scotland (S92000003)",75201,0.00,,
,,,,,"Northern Ireland (N92000002)",18843,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",34935,0.00,,
,,,,,"North West (E12000002)",119849,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",77674,0.00,,
,,,,,"East Midlands (E12000004)",70628,0.00,,
,,,,,"West Midlands (E12000005)",101944,0.00,,
,,,,,"East (E12000006)",77922,0.00,,
,,,,,"London (E12000007)",52898,0.00,,
,,,,,"South East (E12000008)",94813,0.00,,
,,,,,"South West (E12000009)",110236,0.00,,
,,,,,"Wales (W92000004)",65730,0.00,,
,,,,,"Scotland (S92000003)",59462,0.00,,
,,,,,"Northern Ireland (N92000002)",32657,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1417,0.00,,
,,,,,"North West (E12000002)",11366,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",12882,0.00,,
,,,,,"East Midlands (E12000004)",5172,0.00,,
,,,,,"West Midlands (E12000005)",10336,0.00,,
,,,,,"East (E12000006)",10418,0.00,,
,,,,,"London (E12000007)",6134,0.00,,
,,,,,"South East (E12000008)",5404,0.00,,
,,,,,"South West (E12000009)",2522,0.00,,
,,,,,"Wales (W92000004)",1196,0.00,,
,,,,,"Scotland (S92000003)",4330,0.00,,
,,,,,"Northern Ireland (N92000002)",12191,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",3993,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",1304,0.00,,
,,,,,"Scotland (S92000003)",779,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",1300,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1229,0.00,,
,,,,,"East Midlands (E12000004)",2266,0.00,,
,,,,,"West Midlands (E12000005)",2255,0.00,,
,,,,,"East (E12000006)",2428,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",9326,0.00,,
,,,,,"South West (E12000009)",3356,0.00,,
,,,,,"Wales (W92000004)",2617,0.00,,
,,,,,"Scotland (S92000003)",8512,0.00,,
,,,,,"Northern Ireland (N92000002)",1243,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",1541,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",11109,0.00,,
,,,,,"South East (E12000008)",3327,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",4390,0.00,,
,,,,,"Scotland (S92000003)",4871,0.00,,
,,,,,"Northern Ireland (N92000002)",271,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",61918,0.00,,
,,,,,"North West (E12000002)",216830,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",155100,0.00,,
,,,,,"East Midlands (E12000004)",162991,0.00,,
,,,,,"West Midlands (E12000005)",223069,0.00,,
,,,,,"East (E12000006)",154767,0.00,,
,,,,,"London (E12000007)",177734,0.00,,
,,,,,"South East (E12000008)",252345,0.00,,
,,,,,"South West (E12000009)",182102,0.00,,
,,,,,"Wales (W92000004)",143265,0.00,,
,,,,,"Scotland (S92000003)",122604,0.00,,
,,,,,"Northern Ireland (N92000002)",91958,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",58159,0.00,,
,,,,,"North West (E12000002)",205738,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",196402,0.00,,
,,,,,"East Midlands (E12000004)",94073,0.00,,
,,,,,"West Midlands (E12000005)",230967,0.00,,
,,,,,"East (E12000006)",182753,0.00,,
,,,,,"London (E12000007)",201447,0.00,,
,,,,,"South East (E12000008)",230250,0.00,,
,,,,,"South West (E12000009)",139360,0.00,,
,,,,,"Wales (W92000004)",95767,0.00,,
,,,,,"Scotland (S92000003)",134733,0.00,,
,,,,,"Northern Ireland (N92000002)",74722,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",59349,0.00,,
,,,,,"North West (E12000002)",150167,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",84715,0.00,,
,,,,,"East Midlands (E12000004)",44353,0.00,,
,,,,,"West Midlands (E12000005)",90108,0.00,,
,,,,,"East (E12000006)",84620,0.00,,
,,,,,"London (E12000007)",113856,0.00,,
,,,,,"South East (E12000008)",66093,0.00,,
,,,,,"South West (E12000009)",76951,0.00,,
,,,,,"Wales (W92000004)",50188,0.00,,
,,,,,"Scotland (S92000003)",102839,0.00,,
,,,,,"Northern Ireland (N92000002)",18842,0.00,,
,,,,"All rented privately","North East (E12000001)",32163,0.00,,
,,,,,"North West (E12000002)",136342,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",85744,0.00,,
,,,,,"East Midlands (E12000004)",175469,0.00,,
,,,,,"West Midlands (E12000005)",147408,0.00,,
,,,,,"East (E12000006)",108521,0.00,,
,,,,,"London (E12000007)",202756,0.00,,
,,,,,"South East (E12000008)",146980,0.00,,
,,,,,"South West (E12000009)",80522,0.00,,
,,,,,"Wales (W92000004)",48665,0.00,,
,,,,,"Scotland (S92000003)",83861,0.00,,
,,,,,"Northern Ireland (N92000002)",39104,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",1289,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",2580,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",139433,0.00,,
,,,,,"North West (E12000002)",222659,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",158185,0.00,,
,,,,,"East Midlands (E12000004)",114892,0.00,,
,,,,,"West Midlands (E12000005)",221298,0.00,,
,,,,,"East (E12000006)",130841,0.00,,
,,,,,"London (E12000007)",255827,0.00,,
,,,,,"South East (E12000008)",101378,0.00,,
,,,,,"South West (E12000009)",98441,0.00,,
,,,,,"Wales (W92000004)",82711,0.00,,
,,,,,"Scotland (S92000003)",171441,0.00,,
,,,,,"Northern Ireland (N92000002)",60391,0.00,,
,,,,"All rented privately","North East (E12000001)",37055,0.00,,
,,,,,"North West (E12000002)",110850,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",101876,0.00,,
,,,,,"East Midlands (E12000004)",62346,0.00,,
,,,,,"West Midlands (E12000005)",57327,0.00,,
,,,,,"East (E12000006)",58913,0.00,,
,,,,,"London (E12000007)",77763,0.00,,
,,,,,"South East (E12000008)",56773,0.00,,
,,,,,"South West (E12000009)",48691,0.00,,
,,,,,"Wales (W92000004)",59091,0.00,,
,,,,,"Scotland (S92000003)",34560,0.00,,
,,,,,"Northern Ireland (N92000002)",47669,0.00,,
"2014-15 (r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",514008,0.00,,
,,,,,"North West (E12000002)",1731831,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1136692,0.00,,
,,,,,"East Midlands (E12000004)",1047403,0.00,,
,,,,,"West Midlands (E12000005)",1382857,0.00,,
,,,,,"East (E12000006)",1373233,0.00,,
,,,,,"London (E12000007)",1373197,0.00,,
,,,,,"South East (E12000008)",2161318,0.00,,
,,,,,"South West (E12000009)",1382671,0.00,,
,,,,,"Wales (W92000004)",854705,0.00,,
,,,,,"Scotland (S92000003)",1251432,0.00,,
,,,,,"Northern Ireland (N92000002)",477009,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",822359,0.00,,
,,,,,"North West (E12000002)",2241989,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1809030,0.00,,
,,,,,"East Midlands (E12000004)",1467627,0.00,,
,,,,,"West Midlands (E12000005)",1744180,0.00,,
,,,,,"East (E12000006)",2143638,0.00,,
,,,,,"London (E12000007)",2261804,0.00,,
,,,,,"South East (E12000008)",3161999,0.00,,
,,,,,"South West (E12000009)",1704765,0.00,,
,,,,,"Wales (W92000004)",850197,0.00,,
,,,,,"Scotland (S92000003)",1730789,0.00,,
,,,,,"Northern Ireland (N92000002)",543691,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",135721,0.00,,
,,,,,"North West (E12000002)",313153,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",196761,0.00,,
,,,,,"East Midlands (E12000004)",297278,0.00,,
,,,,,"West Midlands (E12000005)",321978,0.00,,
,,,,,"East (E12000006)",267596,0.00,,
,,,,,"London (E12000007)",506158,0.00,,
,,,,,"South East (E12000008)",381563,0.00,,
,,,,,"South West (E12000009)",237412,0.00,,
,,,,,"Wales (W92000004)",149458,0.00,,
,,,,,"Scotland (S92000003)",440473,0.00,,
,,,,,"Northern Ireland (N92000002)",51303,0.00,,
,,,,"All rented privately","North East (E12000001)",248939,0.00,,
,,,,,"North West (E12000002)",538167,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",545368,0.00,,
,,,,,"East Midlands (E12000004)",484511,0.00,,
,,,,,"West Midlands (E12000005)",452016,0.00,,
,,,,,"East (E12000006)",682743,0.00,,
,,,,,"London (E12000007)",1273951,0.00,,
,,,,,"South East (E12000008)",987495,0.00,,
,,,,,"South West (E12000009)",554767,0.00,,
,,,,,"Wales (W92000004)",268119,0.00,,
,,,,,"Scotland (S92000003)",484602,0.00,,
,,,,,"Northern Ireland (N92000002)",164251,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",4272,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",2364,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1460,0.00,,
,,,,,"South West (E12000009)",1476,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",185176,0.00,,
,,,,,"North West (E12000002)",305967,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",241044,0.00,,
,,,,,"East Midlands (E12000004)",163060,0.00,,
,,,,,"West Midlands (E12000005)",214854,0.00,,
,,,,,"East (E12000006)",212684,0.00,,
,,,,,"London (E12000007)",440858,0.00,,
,,,,,"South East (E12000008)",268299,0.00,,
,,,,,"South West (E12000009)",194802,0.00,,
,,,,,"Wales (W92000004)",113129,0.00,,
,,,,,"Scotland (S92000003)",272472,0.00,,
,,,,,"Northern Ireland (N92000002)",78203,0.00,,
,,,,"All rented privately","North East (E12000001)",49409,0.00,,
,,,,,"North West (E12000002)",151581,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",76815,0.00,,
,,,,,"East Midlands (E12000004)",84909,0.00,,
,,,,,"West Midlands (E12000005)",84206,0.00,,
,,,,,"East (E12000006)",91805,0.00,,
,,,,,"London (E12000007)",191911,0.00,,
,,,,,"South East (E12000008)",140004,0.00,,
,,,,,"South West (E12000009)",98178,0.00,,
,,,,,"Wales (W92000004)",91534,0.00,,
,,,,,"Scotland (S92000003)",56233,0.00,,
,,,,,"Northern Ireland (N92000002)",45613,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",2690,0.00,,
,,,,,"South West (E12000009)",1098,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",9311,0.00,,
,,,,,"North West (E12000002)",39625,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",47096,0.00,,
,,,,,"East Midlands (E12000004)",13703,0.00,,
,,,,,"West Midlands (E12000005)",57053,0.00,,
,,,,,"East (E12000006)",35907,0.00,,
,,,,,"London (E12000007)",62101,0.00,,
,,,,,"South East (E12000008)",118204,0.00,,
,,,,,"South West (E12000009)",70060,0.00,,
,,,,,"Wales (W92000004)",6562,0.00,,
,,,,,"Scotland (S92000003)",28744,0.00,,
,,,,,"Northern Ireland (N92000002)",4568,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",16348,0.00,,
,,,,,"North West (E12000002)",63648,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",39403,0.00,,
,,,,,"East Midlands (E12000004)",13591,0.00,,
,,,,,"West Midlands (E12000005)",65287,0.00,,
,,,,,"East (E12000006)",41094,0.00,,
,,,,,"London (E12000007)",144051,0.00,,
,,,,,"South East (E12000008)",56602,0.00,,
,,,,,"South West (E12000009)",29929,0.00,,
,,,,,"Wales (W92000004)",35083,0.00,,
,,,,,"Scotland (S92000003)",22926,0.00,,
,,,,,"Northern Ireland (N92000002)",6948,0.00,,
,,,,"All rented privately","North East (E12000001)",16225,0.00,,
,,,,,"North West (E12000002)",118516,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",95094,0.00,,
,,,,,"East Midlands (E12000004)",66945,0.00,,
,,,,,"West Midlands (E12000005)",77911,0.00,,
,,,,,"East (E12000006)",115378,0.00,,
,,,,,"London (E12000007)",364967,0.00,,
,,,,,"South East (E12000008)",126778,0.00,,
,,,,,"South West (E12000009)",125090,0.00,,
,,,,,"Wales (W92000004)",26743,0.00,,
,,,,,"Scotland (S92000003)",80364,0.00,,
,,,,,"Northern Ireland (N92000002)",19258,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
